trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9025}",20,3,-91.2544633181823,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8573749999999999}",20,0,-73.15045169514805,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8145062499999999}",25,0,-36.494349828939065,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7737809374999998}",30,0,-54.697657696468546,"{0: 19, 1: 6, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7350918906249998}",25,0,-170.51907796120716,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6983372960937497}",20,0,-157.95312052158442,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6634204312890623}",25,0,-85.84628138597743,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6302494097246091}",35,0,-51.67917883404676,"{0: 28, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5987369392383787}",25,0,-160.96283154768633,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.5688000922764597}",30,0,-45.344047839536806,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5403600876626367}",25,11,-41.871083903065234,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.5133420832795048}",20,9,-3.2406843151271616,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.48767497911552954}",30,0,-127.61818656422035,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.46329123015975304}",30,0,-70.8432620287628,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.44012666865176536}",20,0,-25.939563318129007,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.4181203352191771}",30,7,-69.1773947883364,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.3972143184582182}",30,5,-53.15295042991054,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.37735360253530725}",20,8,-1.971779830481359,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.3584859224085419}",35,21,0.17194898518295698,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.3405616262881148}",20,0,-31.593002691680002,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.323533544973709}",30,20,6.175216324558709,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.3073568677250236}",20,10,-1.1057449179600667,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.2919890243387724}",25,18,5.5796608808777926,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.27738957312183377}",20,0,-41.751872820910684,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.26352009446574204}",20,9,-18.33025827236371,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.2503440897424549}",25,12,11.679744160675563,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.23782688525533216}",30,0,-18.946330556038035,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.22593554099256555}",30,21,14.277311486001162,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.21463876394293727}",25,6,4.047158351149923,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.2039068257457904}",20,12,-8.266302362347819,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.19371148445850087}",25,0,-11.68131516967679,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.18402591023557582}",20,4,3.483805755820211,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.174824614723797}",25,0,-11.225770841210096,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.16608338398760716}",20,10,17.124151721505157,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.1577792147882268}",30,15,-34.88200034981405,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.14989025404881545}",25,3,-7.675439279434216,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.14239574134637467}",35,17,-14.34712195924606,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.13527595427905592}",25,0,1.9681924593712619,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.12851215656510312}",20,8,-19.711172019608725,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.12208654873684796}",25,0,-15.465886900600218,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.11598222130000556}",25,16,15.651671593264384,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.11018311023500528}",20,4,-39.35094792102949,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
