trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9025}",20,0,-65.30731736036564,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8573749999999999}",20,0,-206.6734700577774,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8145062499999999}",30,0,-218.43248057268752,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7737809374999998}",20,0,-35.826718989207386,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,0,-67.91381395270702,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6983372960937497}",20,0,-69.45514255882198,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6634204312890623}",25,0,-49.28888530218227,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6302494097246091}",20,0,-36.29278069904125,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5987369392383787}",20,0,-120.01073522566594,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.5688000922764597}",25,0,-202.60944474674602,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.5403600876626367}",25,0,-133.0199098508658,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.5133420832795048}",20,0,-120.79016385226305,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.48767497911552954}",20,0,-42.60345286219209,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.46329123015975304}",25,7,-159.32514029771392,"{0: 9, 1: 1, 2: 3, 3: 3, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.44012666865176536}",20,0,-75.95938966692958,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.4181203352191771}",30,0,-145.2089664053589,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.3972143184582182}",20,0,-39.78281691198233,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.37735360253530725}",20,0,-201.33750435741285,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.3584859224085419}",20,0,-22.99039680800787,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.3405616262881148}",25,0,-93.94979646444558,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-128.19273890934608,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-108.8243144172388,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",35,0,-230.5858449830709,"{0: 15, 1: 10, 2: 6, 3: 1, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",30,0,-167.89922701276478,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-73.0514630810128,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-134.924800045654,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",30,0,-104.80332171707379,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-63.75287681111916,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-185.13323386183973,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",20,0,-64.49527032892172,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
